name,id,type,path,release_date,genres,description,runtime,poster,backdrop
Zombieland,19908,movie,/media/pi/F01/Flext/Filme/Zombieland.mp4,2009-10-07,"['Komödie', 'Horror']","Der junge Computer-Fan Columbus hat als einer der wenigen eine verheerende Zombie-Epidemie überlebt und schlägt sich seit einiger Zeit erfolgreich im Alleingang durch ein postapokalyptisches „Zombieland“. Die Städte und Highways der Vereinigten Staaten sind verwüstet und leer gefegt - inmitten dieser Einöde trifft Columbus auf den wortkargen Zyniker Tallahassee. Dieser moderne Cowboy hat die Kunst der Zombie-Jagd perfektioniert und genießt die gewalttätigen Auseinandersetzungen mit den Untoten sichtlich. Als das ungleiche Duo auf ihrer ziellosen Fahrt die hübsche Wichita und ihre kleine Schwester in einer äußerst verzweifelten Situation kennen lernt, wendet sich das Blatt auf unangenehme Weise…",87,/dJbTZfRRJByAF5YKMJHZCnFH5Fz.jpg,/oihWVx3imvRKujnGmSDYhfG1gI5.jpg
Er ist wieder da,318917,movie,/media/pi/F01/Flext/Filme/Er ist wieder da.mp4,2015-10-08,['Komödie'],"Er ist wieder da, der Führer. Knapp 70 Jahre nach seinem unrühmlichen Abgang erwacht Adolf Hitler im Berlin der Gegenwart. Ohne Krieg, ohne Partei, ohne Eva. Im tiefsten Frieden, unter Angela Merkel und vielen tausend Ausländern startet er, was man am wenigsten von ihm erwartet hätte: eine Karriere im Fernsehen. Denn das Volk, dem er bei seiner Reise durch das neue Deutschland begegnet, hält ihn für einen politisch nicht ganz korrekten Comedian und macht ihn zum gefeierten TV-Star. Und das, obwohl sich Adolf Hitler seit 1945 äußerlich und innerlich keinen Deut verändert hat.",116,/sUldADqpv2HITwngsM8RKqn15zC.jpg,/8saqJMFvNLcYrFgRamD9IINoilD.jpg
Baymax - Riesiges Robowabohu,177572,movie,/media/pi/F01/Flext/Filme/Baymax - Riesiges Robowabohu.mp4,2014-10-24,"['Abenteuer', 'Familie', 'Animation', 'Action', 'Komödie']","Hiro Hamada ist ein brillanter Teenager und lebt in der futuristischen Stadt San Fransokyo ein relativ normales Leben. Zumindest solange, bis ihm sein Bruder Tadashi den aufblasbaren Roboter Baymax baut, zu dem Hiro schnell eine ganz besondere Beziehung entwickelt. Baymax' tatkräftige Unterstützung kann der aufgeweckte Junge definitiv gut gebrauchen, droht doch schon bald eine kriminelle Organisation damit, seine Heimatstadt zu zerstören. Mit der Hilfe von Baymax und seinen Freunden Go Go Tomago, Wasabi, Honey Lemon und Fred beschließt Hiro, alles zu tun, um die Katastrophe zu verhindern.",102,/tBOl7K5HeBrMtLV73EsNI2hRryK.jpg,/wURLf7FW0WYytXl9aeYu5dTbmAT.jpg
Die Weite der Nacht,565743,movie,/media/pi/F01/Flext/Filme/Die Weite der Nacht.mp4,2019-06-01,"['Mystery', 'Science Fiction', 'Thriller']","Im US-Bundesstaat New Mexico in den 1950er Jahren: Die junge Telefonistin Fay Crocker (Sierra McCormick) und der charismatische Radio-DJ Everett (Jake Horowitz) machen eines Abends eine verblüffende und gleichsam rätselhafte Entdeckung. Sie stoßen auf eine seltsame Tonfrequenz unbekannten Ursprungs. Sehr wahrscheinlich könnte sie nachhaltige Konsequenzen für ihre Kleinstadt Cayuga und die Zukunft nach sich ziehen. Doch wer oder was steckt hinter dem Phänomen? Während sich der Rest der Stadt bei einem Highschool-Basketballspiel versammelt hat und das Sportereignis verfolgt, machen sich die beiden jungen Leute gemeinsam auf die gefährliche, mit zahlreichen Hinweisen gespickten Suche nach der Wahrheit und stoßen damit in unbekanntes Terrain vor. Ihr Vorhaben entwickelt sich zu einer Jagd ins Ungewisse...",91,/q2P9lYkctl5Ory71HEBMaFxbVlD.jpg,/lVSMgZUBE4XTVaPBEBAczre4f1W.jpg
Green Book - Eine besondere Freundschaft,490132,movie,/media/pi/F01/Flext/Filme/Green Book - Eine besondere Freundschaft.mp4,2018-11-16,"['Drama', 'Komödie']","Im New York der 1960er Jahre, noch vor der amerikanischen Bürgerrechtsbewegung, hält sich Tony Lip als Türsteher in der Bronx über Wasser. Als der gutherzige, nicht sonderlich gebildete Italo-Amerikaner den Auftrag bekommt, einen sogenannten Dr. Don Shirley in die Südstaaten zu fahren, denkt er sich nicht viel dabei. Shirley aber ist einer der weltbesten Jazz-Pianisten und wortgewandt wie ein Dichter. Er plant eine Konzerttour von New York bis in den konservativen Süden, wo die Rassentrennung noch immer gelebt wird. Um allfälligen rassistischen Angriffen auszuweichen, halten sich die zwei unterschiedlichen Männer an das ""Negro Motorist Green Book"", einen jährlich erscheinenden Reiseführer für die schwarze Bevölkerung, mit Tipps zu Motels, Restaurants und Tankstellen...",130,/mqP6BzeYWcV2OR6bcSZ8guknBM8.jpg,/2Xe9lISpwXKhvKiHttbFfVRERQX.jpg
Bad Times at the El Royale,446021,movie,/media/pi/F01/Flext/Filme/Bad Times at the El Royale.mp4,2018-10-04,"['Thriller', 'Drama', 'Mystery', 'Krimi']","Das heruntergekommene Hotel El Royal an einem Abend in den Sechzigern: Es ist ein merkwürdiger Haufen an Leuten, den der Concierge Mike Miller heute in Empfang nimmt, bestehend aus dem Priester Daniel Flynn, der Sängerin Darlene Sweet, dem Staubsaugervertreter Laramie Seymour Sullivan und einer mysteriösen Unbekannten. Jeder dieser Gäste merkt, dass etwas im Hotel ganz und gar nicht stimmt. Ein Zimmer wurde mit Abhörgeräten geradezu überhäuft, die Zimmerbewohner können außerdem ganz einfach beobachtet werden und der Priester schüttet Darlene etwas in ihr Getränk. Als dann auch noch der Sektenführer Billy Lee anreist, ist endgültig klar, dass alles andere als eine normale Nacht im El Royal bevorsteht…",142,/jSP02ENZzlbcg8BrcK3k0Ei4MXx.jpg,/rgY0OvPJf1hlCdsQ9tUBJOopTz9.jpg
Voyagers,597890,movie,/media/pi/F01/Flext/Filme/Voyagers.mp4,2021-04-08,"['Science Fiction', 'Thriller']","Als die Zukunft der menschlichen Rasse auf dem Spiel steht, begibt sich eine Gruppe junger Männer und Frauen, die auf Intelligenz und Gehorsam gezüchtet wurden, auf eine Expedition zur Kolonisierung eines fernen Planeten. Doch als beunruhigende Geheimnisse über die Mission ans Tageslicht kommen, beginnen sie immer mehr, ihrem Training zu trotzen und ihre primitivste Form ihrer eigenen Natur zu ergründen. Und während das Leben auf dem Schiff immer mehr im Chaos versinkt, werden sie zunehmend von Angst, Lust und dem unstillbaren Hunger nach Macht zerfressen. Dachten sie anfänglich noch, es mit einer Gefahr von außen zu tun zu kriegen, droht nun das, was sich in ihrem Inneren abspielt, ihr Leben gravierend zu verändern.",108,/gn2vCmWO7jQBBto9SYuBHYZARaU.jpg,/9dBSwftCzkC4K4zgMZTwcm58VUR.jpg
Nitram,797457,movie,/media/pi/F01/Flext/Filme/Nitram.mp4,2021-09-30,"['Drama', 'Thriller']",,112,/qOmOMMgqZj7vooTDEqzOUF4jzX0.jpg,/9ugGl7jpiIvKj3UTY331MKl4Bz4.jpg
X-Men Origins Wolverine,2080,movie,/media/pi/F01/Flext/Filme/X-Men Origins Wolverine.mp4,2009-04-28,"['Abenteuer', 'Action', 'Thriller', 'Science Fiction']","James Howlett verfügt über die seltene Gabe, sich in Wolverine verwandeln zu können. Er ist nicht der einzige, in dem übermenschliche Kräfte stecken. Auch Victor Creed alias Sabretooth hat sie. Beide verbindet eine enge Beziehung, bis Wolverines Freundin durch Victor umkommt. Fortan ist er auf Rache aus und tritt dem Weapon X-Programm bei, um eine lebende Waffe zu werden. Dort lernt er weitere Mutanten kennen.",107,/mnurBVQLf9aZcMWu6JsLq27mTEZ.jpg,/wvqdJLVh0mSblly7UnYFPEk04Wd.jpg
Doctor Strange in the Multiverse of Madness,453395,movie,/media/pi/F01/Flext/Filme/Doctor Strange in the Multiverse of Madness.mp4,2022-05-04,"['Fantasy', 'Action', 'Abenteuer']","""Das Multiversum ist ein Konstrukt über das wir erstaunlich wenig wissen"". Nach den Geschehnissen von Spidermans ""No Way Home"" sind die Dinge außer Kontrolle geraten. Gleich drei Gegenspieler machen Strange hierbei das Leben schwer. Nebst dem Zauberer Mordo, der schon im ersten Teil die Seiten wechselte und einem Tentakel-Viech namens Shuma-Gorath, wird der zaubernde Held auch noch mit einer bösen Variante seiner selbst aus einer Dimension konfrontiert, in der er zum Schurken geworden ist.",126,/211J3FayWvqtODF7LGFCzWLnc2m.jpg,/wcKFYIiVDvRURrzglV9kGu7fpfY.jpg
Der Herr der Ringe - Die zwei Türme,121,movie,/media/pi/F01/Flext/Filme/Der Herr der Ringe - Die zwei Türme.mp4,2002-12-18,"['Abenteuer', 'Fantasy', 'Action']","Der Weg der Gefährten hat sich geteilt. Ringträger Frodo und sein treuer Begleiter Sam treffen in den Bergen von Emyn Muil auf Gollum, dem einst Bilbo Beutlin den Einen Ring wegnahm. Gollums Versuch, den mächtigen Ring von Frodo zu stehlen, misslingt, doch die Hobbits bringen es nicht übers Herz, die Kreatur zu töten. Stattdessen soll Gollum die beiden nach Mordor an die Pforten von Barad-Dûr, Saurons Festung, führen, wo Frodo den Ring vernichten will. Währenddessen folgen Aragorn, Elben-Bogenschütze Legolas und Zwerg Gimli den Spuren der von Orks verschleppten Hobbits. Im Menschenkönigreich Rohan ersuchen sie Unterstützung. Doch König Theoden steht unter einem tödlichen Bann Saurons. Erst als Gandalf als wiedergeborener weißer Zauberer zurückkehrt, wendet sich das Blatt. Er befreit Theoden von dem Fluch und bringt die Menschen von Rohan hinter sich. Unterdessen rückt Saurons Verbündeter Saruman mit einer 10.000 Mann starken Armee von Uruk-hais in RIchtung der Menschenstadt vor...",179,/tgBCeAjPwXeUaf8LsRL0LzBIcdR.jpg,/kWYfW2Re0rUDE6IHhy4CRuKWeFr.jpg
Operation Mekong,415214,movie,/media/pi/F01/Flext/Filme/Operation Mekong.mp4,2016-09-30,"['Action', 'Abenteuer', 'Krimi', 'Kriegsfilm']","Zur Aufklärung von Todesfällen auf dem Mekong wird eine Spezialeinheit unter der Führung des erfahrenen Gang Gao in das Gebiet geschickt. Die Spuren führen die Ermittler geradewegs zu Drogenbaron Naw Khar, der sein Hoheitsgebiet mit Terror und Gewalt sichert. Seine tief im Dschungel gelegene Rauschgift-Homebase scheint uneinnehmbar - doch genau das werden Gang Gao und sein Team ändern...",123,/36vG1zqykXhjfH51VjSsnmMEKDM.jpg,/xUmZHFZa85KxIKzsIdr16oGMjCH.jpg
Verschwörung,979251,movie,/media/pi/F01/Flext/Filme/Verschwörung.mp4,2022-09-29,[],,0,,
22 Jump Street,187017,movie,/media/pi/F01/Flext/Filme/22 Jump Street.mp4,2014-06-05,"['Krimi', 'Komödie', 'Action']","Nachdem die Neu-Polizisten Schmidt und Jenko ihren ersten Fall erfolgreich lösen konnten, sollen sie erneut als verdeckte Ermittler arbeiten. Dieses Mal wird keine Highschool infiltriert, sondern ein örtliches College. Es kommt, wie es kommen muss: Schnell sind Schmidt und Jenko von ihrer eigentlichen Arbeit abgelenkt und verlieren sich in den Verlockungen des Studentenlebens. Jenko findet Anschluss im Football-Team, während Schmidt sich in Kreisen der gehobenen Kunst zu bewegen beginnt. Diese Einflüsse lassen die beiden Cops allerdings auch an ihrer Partnerschaft zweifeln. Gelingt es den beiden dennoch, sich zusammenzuraufen, ihren Fall zu lösen und endlich erwachsen zu werden? Oder bleibt ihre Freundschaft zwischen den Partys und Schießereien auf der Strecke?",112,/ajB6cGvoy04438RzvfO6Sz28yMK.jpg,/kdyYOwpKvvD2fSbwfnMM2YPAzfq.jpg
