name,id,type,path,release_date,genres,description,runtime,poster,backdrop
Der doppelte Vater,773998,movie,/media/pi/F01/Flext/Filme/Der doppelte Vater.mp4,2021-01-15,"['Komödie', 'Drama', 'Familie']","Während ihre Mutter die Welt bereist, wagt sich eine 18-Jährige, die ihr Leben in einer Hippie-Kommune verbracht hat, auf der Suche nach ihrem Vater in die Welt hinaus. Double Dad.Inhalt: Während ihre Mutter die Welt bereist, wagt sich eine 18-Jährige, die ihr Leben in einer Hippie-Kommune verbracht hat, auf der Suche nach ihrem Vater in die Welt hinaus.",103,/xkcs4CDrM1MMndYIZCDp6PsG5Sn.jpg,/aW6BLZdUe7DiainCLZKMTXMnks9.jpg
Die versunkene Stadt Z,314095,movie,/media/pi/F01/Flext/Filme/Die versunkene Stadt Z.mp4,2017-03-15,"['Abenteuer', 'Drama', 'Historie']","Percy Fawcett ist Offizier der britischen Armee, wo er jedoch aufgrund seiner Herkunft keine Chancen auf eine große Karriere hat. Da kommt ihm ein Auftrag der Royal Society gerade recht, in deren Namen er in Südamerika Karten des damals noch unbekannten Gebietes erstellen soll. Bei seiner langwierigen und strapaziösen Expedition in den lebensfeindlichen Dschungel am Amazonas stößt er durch Zufall auf Spuren einer offenbar ausgestorbenen Zivilisation, von der noch niemand berichtet hat, und ist bald überzeugt von der Existenz einer verschollenen Stadt, die er „Z“ tauft. Doch als er nach Hause zurückkehrt, glaubt ihm niemand und sein Fund wird als Gehirngespinst verschrien. Gezwungen, Beweise für seine Behauptungen zu finden, bricht Fawcett erneut in den Dschungel Brasiliens auf, begleitet von seinem mittlerweile erwachsenen Sohn Jack.",140,/ypeuq52AHoG0BSBhEoaoB9RSfaD.jpg,/qyAH7xkrgYCGPbaFV29C82Hngum.jpg
Die Hüterin der Wahrheit 2,305638,movie,/media/pi/F01/Flext/Filme/Die Hüterin der Wahrheit 2.mp4,2015-03-26,"['Fantasy', 'Abenteuer', 'Drama']","Sie entstammt einer übernatürlich begabten Familie und so kommt es, dass auch die junge Dina außergewöhnliche Fähigkeiten hat: Sie kann direkt in die Seele von anderen Menschen schauen und dafür sorgen, dass diese sich plötzlich ihrer selbst schämen. Als der einzige legitime Nachfolger auf den Thron fälschlicherweise mehrerer Morde beschuldigt wird, will man Dinas Mutter dazu bringen, ihre Fähigkeiten einzusetzen, um ein Geständnis zu erzwingen. Doch weil sie sich weigert, ihre Gabe für solche Zwecke zu missbrauchen, wird sie gefangen genommen. Nun muss Dina die Wahrheit hinter den Morgen herausfinden und gerät dabei in einen gefährlichen Machtkampf, der ihr eigenes Leben gefährdet…",96,/ndSNRUf4Y2YOQxd6IHrH72PPJMq.jpg,/1yFDezBuGNnzcKyYd0xpnA6HDW2.jpg
Die Bestimmung - Divergent,157350,movie,/media/pi/F01/Flext/Filme/Die Bestimmung - Divergent.mp4,2014-03-14,"['Action', 'Abenteuer', 'Science Fiction']","Das zukünftige Chicago ist in fünf Lager aufgeteilt und in jedem herrscht eine andere Tugend vor: Candor (die Ehrlichen), Abnegation (die Selbstlosen), Dauntless (die Mutigen), Amity (die Friedvollen) und Erudite (die Intelligenten). Am Berufungstag, einmal jedes Jahr, müssen sich die 16-Jährigen entscheiden, welchem Lager sie angehören und ihr Leben widmen wollen. Für Beatrice bedeutet die Entscheidung bei ihrer Familie zu bleiben oder sie selbst zu sein. Beides geht nicht. Deshalb trifft sie eine Entscheidung, die jeden überrascht – auch sie selbst...",143,/37O6zjxB2O1i3PSB39FAKEzCpLU.jpg,/ipikQozG6cAtLqhaFqRneA0LI4o.jpg
The Mortuary,524216,movie,/media/pi/F01/Flext/Filme/The Mortuary.mp4,2020-10-08,"['Fantasy', 'Horror']","Früher oder später landet jeder Bewohner von Raven's End mal auf dem Tisch von Montgomery Dark (Clancy Brown). Der Leichenbestatter kennt die Toten besser als jeder Andere. Und die Angehörigen müssen sich keine Sorgen um ihre Verstorbenen machen, bei Montgomery sind sie in besten Händen. Egal, ob es um die Grabrede, die letzte Salbung oder die Verbrennung im hauseigenen Krematorium geht. Die Prozesse rund ums Sterben schüchtern Sam (Caitlin Fisher) nicht ein – ganz im Gegenteil, das Morbide zieht sie förmlich in den Bann. Das junge Mädchen bewirbt sich bei Montgomery, als er eine Stelle ausgeschrieben hat. Während er ihr einige der seltsamsten Geschichten, die er in seiner langen Karriere erlebt hat, erzählt, stellt sie jedoch fest, dass es nicht umsonst ""Ruhe in Frieden"" heißt ...",111,/b7row5GP3ic8zrzTUSPIFAjotdb.jpg,/tsGSTBl5H8DBLnHc24Teny0Ppc5.jpg
James Bond 007 - Moonraker - Streng geheim,698,movie,/media/pi/F01/Flext/Filme/James Bond 007 - Moonraker - Streng geheim.mp4,1979-06-26,"['Action', 'Abenteuer', 'Thriller', 'Science Fiction']","Während des Transportes auf dem Rücken einer Boeing 747 wird ein Space Shuttle entführt und das Flugzeug vernichtet. Seine Nachforschungen führen James Bond zu der Herstellerfirma des Shuttles. Schon bald merkt er, dass deren Besitzer Hugo Drax die gesamte Menschheit vernichten will. Es kommt zum Showdown im Weltall.",126,/p9zYOfnCrUk0s0JeokCEmB18GYe.jpg,/tBB2mLE6u939vbmOPgWWmamLSIQ.jpg
The Last Witch Hunter,274854,movie,/media/pi/F01/Flext/Filme/The Last Witch Hunter.mp4,2015-10-21,"['Fantasy', 'Action', 'Abenteuer']","Einer der letzten überlebenden Hexenjäger der heutigen Welt, Kaulder, zieht durch die Straßen von New York, um die Erde vor einer zerstörerischen Kraft zu schützen – ausgestattet mit hilfreichen Tipps von Father Dolan und dessen Schüler im Kampf unterstützt durch die Hexe Chloe. Der 700-jährige Kaulder und seine magisch begabte Begleiterin versuchen, den zahllosen bösen Hexen und Zauberern, die in New York unter dem Kommando einer niederträchtigen Königin ihr Unwesen treiben, das Handwerk zu legen. Denn die Unholde vermehren sich bedrohlich, nachdem sie bereits einen Großteil der anderen Hexenjäger getötet haben. Bald liegt es allein an dem ungleichen Duo Kaulder und Chloe, die wachsende Gegnerschar endgültig zu stoppen – und deren Anführerin.",106,/xrq0wf6R8cTY8EkCHS1RbKaKojM.jpg,/g8DUZrgCfXRJ5CazfZ5X7qCWcvZ.jpg
Stan & Ollie ,23988,movie,/media/pi/F01/Flext/Filme/Stan & Ollie .mp4,2009-10-27,"['Komödie', 'Horror']","Es ist Halloween-Nacht. Stan Helsing, eine kleine, kiffende Videotheken-Aushilfe, will zusammen mit seinem besten Freund, der im Superman-Kostüm, und seiner sexy Ex und der heiße Freundin, auf eine Kostümparty. Auf dem Weg dorthin erfährt Stan aber, dass er der einzige noch lebende Nachfahre des megaberühmten Monsterjägers, Van Helsing ist. Als sie dann auf die Parodien von Freddy Krüger, Jason Vohees, Leatherface, Pinhead, Chucky und Michael Mayers treffen, scheint Stan seine wahre Berufung zu ereilen. Es beginnt ein ultimativer Kampf zwischen Gut und Böse. Spätestens jetzt ahnt man schon, das das kein gutes, sondern eher ein echt beschissenes Ende nehmen wird.",89,/pCN5Vk1qKunXMzowwBecUqSTW1o.jpg,/xxoMXFxT44C4IelD65aZKEAOIkc.jpg
1984,464052,movie,/media/pi/F01/Flext/Filme/1984.mp4,2020-12-16,"['Action', 'Abenteuer', 'Fantasy']",Diana Prince wird während des Kalten Krieges in den 1980ern in einen Konflikt mit der Sowjetunion verwickelt und trifft dabei auf eine ebenbürtige Gegenspielerin namens Cheetah.,155,/ftwMLX86qWcE3GI8wwfeLotorAc.jpg,/yzpCv8CCWondN7O5au1KGiqnC3A.jpg
Sierra Burgess Is a Loser,462919,movie,/media/pi/F01/Flext/Filme/Sierra Burgess Is a Loser.mp4,2018-09-07,"['Komödie', 'Drama', 'Liebesfilm']","Sierra Burgess hat sich nie darum geschert, wie sie ihre Umwelt wahrnimmt. Doch als ausgerechnet ihr großer Schwarm Jamey anfängt ihr Textnachrichten zu schreiben, steht sie vor einem Dilemma. Denn er verliebt sich zwar in ihre Worte doch er verwechselt sie und glaubt mit Veronica dem beliebtesten, aber auch gemeinsten Mädchen der Schule, zu schreiben und bald auch zu telefonieren. Sierra sieht nur noch eine Chance. Sie muss Veronica um Hilfe bitten, um in bester Cyrano-de-Bergerac-Manier mit deren Unterstützung ihren Angebeteten zu erobern.",105,/vjnHRySiVM4YcBYzjCxw344y9g.jpg,/fdFIVBpq57ZbHok07SI3gNLWUbO.jpg
Black and Blue,578189,movie,/media/pi/F01/Flext/Filme/Black and Blue.mp4,2019-10-25,"['Drama', 'Action', 'Thriller']","Die junge Alicia West  hat es allein aufgrund ihres Geschlechts und ihrer schwarzen Hautfarbe nicht leicht als neuer weiblicher Officer in New Orleans. Ihre Situation wird umso schwerer, als sie aus Versehen mit ihrer Körperkamera den Mord einiger korrupter Polizei-Kollegen und ihres eigenen Partners an einem Drogendealer filmt. West sieht sich einer doppelten Bedrohung ausgesetzt: Zum einen muss sie sich vor der bekanntlich brutalen Rache der Drogenkartelle fürchten, die ein Kopfgeld auf sie ausgesetzt haben, zum anderen werden auch ihre überführten Kollegen alles daran setzen, den „Rookie“ im Team auszuschalten und an das belastende Material zu kommen. Da sie weder von ihren Vorgesetzten, noch von ihrer schwarzen Gemeinde Hilfe erwarten kann, ist der Fremde Milo „Mouse“ Jackson  ihre einzige Chance. Gemeinsam mit ihm versucht sie, die Wahrheit ans Licht zu bringen und ihre beiden Feinde gegenenander auszuspielen.",108,/1oMwxEGgG3kXWH3BaAn2olvu34u.jpg,/7GWDrjxeBsh5onaYf5XHjIM9BA1.jpg
21&Over,8065,movie,/media/pi/F01/Flext/Filme/21&Over.mp4,2008-03-27,"['Drama', 'Krimi']","Aufgrund seiner guten Ergebnisse als Mathematikstudent am renommierten MIT, erhält Ben Campbell ein verlockendes Angebot. Sein Mathematikprofessor Mickey Rosa will Ben in sein sechsköpfiges Black Jack Team aufnehmen, das er im Kartenzählen professionell ausbildet. Denn Rosa hat eine Formel entwickelt, mit der es möglich ist, alle Las Vegas Casinos um Millionen Dollar zu erleichtern. Nach einigen erfolgreichen Runden Black Jack schöpft jedoch auch die Security der Casinos Verdacht und nimmt die Spur von Rosa und seinem Expertenteam auf.",123,/mBcFM5lIzybxdKEZhg6HfUABXG0.jpg,/u6OCGwhSWhfQX1LZ4NTq0bfcWxs.jpg
Tenet English,,movie,/media/pi/F01/Flext/Filme/Tenet English.mp4
Blue Miracle,671295,movie,/media/pi/F01/Flext/Filme/Blue Miracle.mp4,2021-05-27,"['Abenteuer', 'Drama', 'Familie']","Um ihr Waisenhaus zu retten, arbeiten ein Vormund und seine Kinder mit einem angeschwemmten Bootskapitän zusammen, um einen lukrativen Angelwettbewerb zu gewinnen.",95,/xBdP9Z0oVAx25tM2gUOtq298jxR.jpg,/7piVB6weeJdWB6xL0wzJJeHNo6O.jpg
Van Gogh - An der Schwelle zur Ewigkeit,491472,movie,/media/pi/F01/Flext/Filme/Van Gogh - An der Schwelle zur Ewigkeit.mp4,2018-11-15,['Drama'],"Vincent van Gogh (Willem Dafoe) leidet unter starken psychischen Problemen und gravierenden emotionalen Schmerzen. Er ist erfolgreicher Maler und Zeichner, doch geplagt von Weltschmerz. In seiner Sinneskrise ist es nicht zuletzt ein Priester (Mads Mikkelsen) der van Gogh fragt: Bist du der geborene Künstler? Während sein Freund Paul Gauguin (Rupert Friend) eine bahnbrechende Kunstrevolution, von van Gogh angeführt, vorsieht, flüchtet der Künstler in die Natur, auf der Suche nach einem Fleck Erde, den die Kunst noch nicht entdeckt hat. Doch seine mentalen Dämonen lassen ihn nicht los und treiben van Gogh in eine psychiatrische Anstalt und schließlich auch dazu, sich das Ohr abzuschneiden und Selbstmord zu begehen.",111,/lIqogRyUmqOxcgSd6zsAeE1qPl8.jpg,/cOUZMd2Cr6uOHcdCDJtWRgVN4aN.jpg
Ocean´s 13,298,movie,/media/pi/F01/Flext/Filme/Ocean´s 13.mp4,2007-06-06,"['Krimi', 'Thriller']","Nachdem Reuben Tishkoff beim Bau eines neuen Casinos von seinem Geschäftspartner Willy Banks übers Ohr gehauen wurde, landet er mit einem Herzanfall im Krankenhaus. Danny Ocean will die Sache für seinen alten Freund regeln und bietet Banks ein faires Geschäft an. Banks lehnt das Angebot kommentarlos ab und so beginnen Danny und seine Freunde mit der Planung des Rachefeldzugs: In Zusammenarbeit mit ihrem alten Erzfeind Terry Benedict wollen sie Banks neues Casino in der Eröffnungsnacht leer räumen.",122,/hgs7voJWZJNWfrdKgizabRvK1ne.jpg,/5ExqrHbEArqHAMAplGt95ttq5ps.jpg
Vergiftete Wahrheit,552178,movie,/media/pi/F01/Flext/Filme/Vergiftete Wahrheit.mp4,2019-11-22,"['Drama', 'Thriller', 'Historie']","Robert Bilott ist seit kurzem Partner in einer renommierten Anwaltskanzlei in Cincinnati. Nachdem er von zwei Landwirten aus West Virginia kontaktiert wurde, die glauben, dass das örtliche DuPont-Werk giftige Abfälle auf der Mülldeponie ablädt, das ihre Felder zerstört und ihr Vieh vergiftet, gerät er in einen Konflikt. In der Hoffnung, die Wahrheit über die Geschehnisse zu erfahren, reicht Bilott mithilfe seines leitenden Partners der Firma, Tom Terp, eine Beschwerde ein, die den Beginn eines epischen 15-jährigen Kampfes markiert. Ein Kampf, der nicht nur seine Beziehung zu seiner Frau Sarah, sondern auch seinen Ruf, seine Gesundheit und seinen Lebensunterhalt auf die Probe stellt.",127,/xsolLGMkGB3rCJQaACKBnjzz4dR.jpg,/4ZSlTfkHtgTTupCaLbseXQQzZha.jpg
Salt,27576,movie,/media/pi/F01/Flext/Filme/Salt.mp4,2010-07-21,"['Action', 'Mystery', 'Thriller']","Evelyn Salt genießt bei der CIA den Ruf, eine der besten Agentinnen des Geheimdienstes zu sein. Loyalität und Patriotismus stehen bei ihr an vorderster Stelle. Niemand würde ihre Integrität in Frage stellen. Bis ein Überläufer sie beschuldigt, eine russische Spionin zu sein. Salt setzt sich ab. Während sie ihre gesammelten Fähigkeiten einsetzt, um ihre Verfolger zu täuschen und abzuschütteln, müht sie sich darum, ihre Unschuld zu beweisen. Damit bewirkt sie aber nur das Gegenteil. Offenbar gibt es ein Geheimnis, von dem keiner erfahren soll.",100,/vguzmGj4uKJyeERvzk4t5Mi4QR.jpg,/75S1XsekIPF7c99g5cby0DeorPz.jpg
Candyman,565028,movie,/media/pi/F01/Flext/Filme/Candyman.mp4,2021-08-25,['Horror'],"Der Künstler Anthony McCoy stößt auf die Geschichte des „Candyman“, die er zunächst als Inspiration in seinen Bildern verarbeitet. Als plötzlich mehrere Menschen brutal ermordet werden, verliert Anthony jedoch allmählich seinen Verstand.",91,/eMsMOmA3vZmjZDzUOkeDG5c0cFU.jpg,/g1cMEQnEptUJ7Sv8SRjWBTTHyMv.jpg
Camgirl,553803,movie,/media/pi/F01/Flext/Filme/Camgirl.mp4,2018-05-23,[],,165,/oSReIbompe622GmBchhbGk3Cu6y.jpg,/49a6ebQnPVuPJRFqL82pdD8wvuT.jpg
Everything Everywhere All at Once,545611,movie,/media/pi/F01/Flext/Filme/Everything Everywhere All at Once.mp4,2022-03-24,"['Action', 'Abenteuer', 'Science Fiction']","Waschsalonbesitzerin Evelyn Wang geht im Chaos ihres Alltags unter: Der bevorstehende Besuch ihres Vaters überfordert sie, die Wünsche der Kunden bringen sie an ihre Grenzen und die anstehende Steuererklärung wächst ihr komplett über den Kopf. Der Gang zum Finanzamt ist unausweichlich, doch während sie mit ihrer Familie bei der Steuerprüferin vorspricht, wird ihr Universum komplett durcheinandergewirbelt. Raum und Zeit lösen sich auf, und die Menschen um sie herum haben, ebenso wie sie selbst, plötzlich weitere Leben in Parallelwelten. Sie entdeckt, dass das Multiversum real ist und sie auf die Fähigkeiten und das Leben anderer Versionen ihrer selbst zugreifen kann. Das ist auch bitter nötig, denn sie wird mit einer großen, wenn nicht der größtmöglichen Mission betraut: Der Rettung der Welt vor dem unbekannten Bösen.",140,/wijpkcLGfYuBIGu7xgOlQgV9R5I.jpg,/7JcaVugJ6wxr4DPvLRxwjOekHch.jpg
Hell Fest,429476,movie,/media/pi/F01/Flext/Filme/Hell Fest.mp4,2018-09-27,['Horror'],"Natalie ist mit ihren Freunden auf dem Weg zum Horror Freizeitpark HELL FEST - einem weitläufigen Labyrinth aus Fahrgeschäften, Spielen und Irrgärten, der durchs Land reist und gerade in ihrer Stadt halt macht. Doch für einen der Besucher ist der der gruslige Horror Park keine Attraktion, sondern ein Jagdrevier. Der maskierte Serienkiller verwandelt den Vergnügungspark in seinen eigenen Spielplatz und mordet einen Besucher nach dem anderen, während der Rest der Gäste glaubt, alles wäre Teil der Show. Nur Natalie erkennt schnell, dass sie kämpfen müssen um zu überleben.",89,/qgLlnlrUtTKXkdrgMBwUfkyAkya.jpg,/orfMBe5LbJG7pySD1dxHbLOHJ9r.jpg
Die Tribute von Panem - Mockingjay Teil 1,131631,movie,/media/pi/F01/Flext/Filme/Die Tribute von Panem - Mockingjay Teil 1.mp4,2014-11-19,"['Science Fiction', 'Abenteuer', 'Thriller']","Katniss erwacht nach dem zweiten Hunger-Games-Turnier im Schiff der Rebellen. Da District 12 von der Regierung zerstört wurde, wird sie im unterirdischen District 13 versteckt. Sie erfährt, dass der District 13 entgegen der offiziellen Geschichtsschreibung noch immer existiert und jetzt die Anführer der Revolution stellt. Auch wenn Katniss zögert, sich der Truppe anzuschließen, erkennt sie, dass sie kaum andere Möglichkeiten hat. Die Rebellen wollen Katniss’ Popularität für ihre Zwecke ausnutzen und sie zum ‘Mockingjay’ aufbauen, dem Propagandaidol der Opposition gegen das Capitol. Gleichzeitig wird Peeta, der nicht aus der Arena gerettet werden konnte, von der Regierung gefangen gehalten. Er wird gezwungen, sich vor Kameras von Katniss und den Rebellen loszusagen und einen Waffenstillstand zu fordern. In einer letzten Mission begibt sich Katniss ins Capitol, um Präsident Snow zu töten.",123,/uK1ZjmrwugzDBSRMx8pi9ZEQDEV.jpg,/dAzuZIIZVehzJBWBXvHoglArMDG.jpg
Das Alibi  Spiel der Macht,432301,movie,/media/pi/F01/Flext/Filme/Das Alibi  Spiel der Macht.mp4,2018-04-06,"['Historie', 'Drama', 'Thriller']","Die wahre Geschichte hinter dem dunklen Geheimnis von „Chappaquiddick“: Mehr als zehn Stunden nachdem er mit seinem Auto in voller Fahrt von einer Brücke ins Wasser gestürzt ist, verständigt Senator Edward „Ted“ Kennedy die Polizei. Bei der Bergung des Unfallwagens findet ein Polizeitaucher auf dem Beifahrersitz die Leiche von Mary Jo Kopechne, eine attraktive Wahlkampfhelferin von Edward Kennedy. Hätte der Senator nicht nur sich, sondern auch die junge Frau retten können? Ein Stab von Beratern tritt in Aktion. Es wird vernebelt, vertuscht und bestochen …",107,/9gLL5wlfrKUZ1lprlnrcmYu0Xup.jpg,/d4fWOKyrVgp3XsH0swUucl277O3.jpg
Love Break - Ein Dieb zum Verlieben,533550,movie,/media/pi/F01/Flext/Filme/Love Break - Ein Dieb zum Verlieben.mp4,2018-08-17,"['Komödie', 'Drama', 'Liebesfilm']","Eigentlich will der geübte, charmante Einbrecher Harry (Milo Gibson) nur mal wieder etwas Beute an Land ziehen und deswegen ein Haus ausrauben. Doch während seiner Gaunerei findet er die Bewohnerin Daisy (Jordan Hinson) in der Badewanne. Diese hat ein Glas Rotwein und diverse Pillen bereitliegen, um sich umzubringen, doch Harry kommt ihr zuvor und verhindert das Schlimmste. Aus der ungewöhnlichen Zufallsbegegnung entsteht eine noch ungewöhnlichere Beziehung zwischen einer jungen Frau und einem Einbrecher, der sie bestehlen wollte, ihr nun aber zeigen will, warum sich das Leben lohnt. Eine Reise beginnt, die zu Selbsterkenntnis führt – und zu Liebe.",78,/wGrMKuUti7ogVfasBZYATyUHUII.jpg,/lPNIcV5ozPiYsjMdkjDBLALVMHE.jpg
Greyhound,516486,movie,/media/pi/F01/Flext/Filme/Greyhound.mp4,2020-07-10,"['War', 'Action', 'Drama']","A first-time captain leads a convoy of allied ships carrying thousands of soldiers across the treacherous waters of the “Black Pit” to the front lines of WW2. With no air cover protection for 5 days, the captain and his convoy must battle the surrounding enemy Nazi U-boats in order to give the allies a chance to win the war.",91,/kjMbDciooTbJPofVXgAoFjfX8Of.jpg,/xXBnM6uSTk6qqCf0SRZKXcga9Ba.jpg
Da 5 Bloods,581859,movie,/media/pi/F01/Flext/Filme/Da 5 Bloods.mp4,2020-06-12,"['Kriegsfilm', 'Drama']",Vier afroamerikanische Veteranen kehren Jahrzehnte nach dem Krieg auf der Suche nach den Überresten ihres Truppenführers nach Vietnam zurück.,154,/yx4cp1ljJMDSFeEex0Zjv45b55E.jpg,/Aq5Zhj9iaTF6BEKNk05dlUxeHKa.jpg
Bright,400106,movie,/media/pi/F01/Flext/Filme/Bright.mp4,2017-12-22,"['Fantasy', 'Action', 'Thriller']","„Bright“ spielt in einer alternativen Realität der Gegenwart, in der Menschen, Orks, Elfen und Feen bereits seit Anbeginn der Zeit Seite an Seite leben. Der Actionfilm sprengt die Grenzen seines Genres und handelt von zwei Polizisten sehr unterschiedlicher Herkunft: Ward und Jakoby machen bei einer Routinepatrouille eines nachts eine düstere Entdeckung, die die Zukunft und die Welt, die sie kennen, für immer verändern wird.  Quelle: Netflix",117,/gmulRdsigBBWirTBXz2q2kwlou9.jpg,/b09HLFIifMNljI7NI9CJgm2gN1Y.jpg
Mord im Orient Express,6110,movie,/media/pi/F01/Flext/Filme/Mord im Orient Express.mp4,2001-04-22,"['Krimi', 'Drama', 'Thriller', 'TV-Film']","Graue Zellen sind gut, Computer fast noch besser: Im Jahr 2001 löst Meisterdetektiv Hercule Poirot einen kniffligen Fall mit Hilfe eines Laptops.",100,/8ChjqcnOxo30p8o6ehANvKKn8Fr.jpg,/omP6mYf6evWSwnCblT8yPsORrhx.jpg
Asterix und das Geheimnis des Zaubertranks,527729,movie,/media/pi/F01/Flext/Filme/Asterix und das Geheimnis des Zaubertranks.mp4,2018-05-12,"['Familie', 'Animation', 'Komödie', 'Abenteuer']","Nach einem Sturz beim Mistelpflücken beschließt der Druide Panoramix, dass es an der Zeit ist, die Zukunft des Dorfes zu sichern. Zusammen mit Asterix und Obelix macht er sich auf den Weg durch die gallische Welt, um einen jungen, talentierten Druiden zu finden, dem er das Geheimnis des Zaubertranks anvertrauen kann.",86,/j12ACoy46oHcol7rKnR5RaY18Nb.jpg,/kAWcTZA6sbdR5ORwsHxHzsr7PXF.jpg
The Croods A New Age,529203,movie,/media/pi/F01/Flext/Filme/The Croods A New Age.mp4,2020-11-25,"['Animation', 'Familie', 'Abenteuer', 'Fantasy', 'Komödie']","Nachdem sie ihre Höhle verlassen haben, treffen die Croods auf ihre größte Bedrohung seit ihrem Weggang: eine andere Familie, die Bessermanns, die behaupten, besser zu sein und sich weiterzuentwickeln. Aber nachdem Eep und die einzige Tochter der Bessermanns ausreißen, müssen die beiden Familien ihre Differenzen beiseite legen, um sie zu retten.",95,/tHc5WDj1NIdZWzFrBLgWBmOk0at.jpg,/fmIp40ev4VGquK2bMo52PQgaV2d.jpg
Die vierte Art,22824,movie,/media/pi/F01/Flext/Filme/Die vierte Art.mp4,2009-11-06,"['Mystery', 'Science Fiction', 'Thriller']","In der Stadt Nome in Alaska geschehen seit den 60er Jahren seltsame Dinge, viele Menschen berichten von Schlafproblemen und von ""Eulen"" die sie Nachts gesehen haben wollen. Einige Einwohner sind verschwunden, manche tauchen wieder auf, andere nicht. Das FBI hat überdurchschnittlich oft in der Stadt ermittelt, jedoch immer ohne ein Ergebnis. Nach dem Tod ihres Mannes, der viele dieser Vorfälle untersucht hat, übernimmt die Psychologin Dr. Abigail Tyler die Untersuchungen. Sie versucht es schließlich bei einem ihrer Patienten mit Hypnose, doch dabei wird dieser mit einem so erschreckenden Erlebnis konfrontiert, dass er anschließend seine Familie und sich selbst erschießt. Der Sheriff der Stadt macht Dr. Tyler Vorwürfe und glaubt ihr auch ihre Untersuchungsergebnisse nicht. Einzig von dem befreundeten Kollegen Abel Campos wird sie unterstützt. Ein weiterer Versuch bei einem Patienten unter Hypnose etwas zu erfahren endet ebenfalls äußerst tragisch.",98,/eGmEJjHmQcan8mLCO7t2An3GiaX.jpg,/jEtFIJ7P3zXKT7VvYiIPuGPjJKl.jpg
A Private War,475132,movie,/media/pi/F01/Flext/Filme/A Private War.mp4,2018-11-16,"['Kriegsfilm', 'Drama']","Marie Colvin ist eine der bekanntesten Kriegsberichterstatterinnen der Welt und lässt sich von nichts abschrecken. Sie bewegt sich mitten in der Londoner Elite genauso selbstverständlich wie im Kugelhagel in den gefährlichsten Winkeln der Welt. Selbst als sie von einer Granate in Sri Lanka getroffen wird, hält sie das nicht davon ab, ihren Job zu machen. Sie trägt nun einfach eine Augenklappe. Doch dieser volle Einsatz fordert auch ihren Tribut",110,/rsgRF9HTrbXileiauIqeOYsWrfV.jpg,/3oyA4yN1xv4bwc5bGTfBJAqQDNy.jpg
All Day and a Night,530956,movie,/media/pi/F01/Flext/Filme/All Day and a Night.mp4,2020-05-01,['Drama'],"Während seiner lebenslangen Gefängnisstrafe blickt ein junger Mann auf all die Menschen, die Umstände und das System zurück, die ihn einst zum Verbrecher werden ließen.",121,/8xiV8j18GhWnnrfMGaDR0E5oOif.jpg,/9XCnndiIzsWibZhxPoo8EV04fzr.jpg
The App,653522,movie,/media/pi/F01/Flext/Filme/The App.mp4,2019-12-26,"['Drama', 'Science Fiction']","Niccolò Melzi d’Eril entstammt einer der prominentesten italienischen Familien und hat alles: Er ist intelligent, schön, reich, privilegiert … und überaus einsam.",80,/tjtwEm9foB0NnWomsP3hUiSc0nG.jpg,/lGKJmltdVrfkI1tWWQ1v7cPeacT.jpg
The Equalizer 2,345887,movie,/media/pi/F01/Flext/Filme/The Equalizer 2.mp4,2018-07-19,"['Action', 'Thriller', 'Krimi']","In The Equalizer hatte Robert McCall seines Zeichens Ex-Special-Agent eines Undercover-Kommandos, den eigentlich wohlverdienten Ruhestand verlassen, um einer jungen Prostituierten zur Seite zu stehen, weil diese Hilfe benötigte. In The Equalizer 2 hat Robert McCall nun erkannt, dass es für einen Mann seines Kalibers und seiner Fähigkeiten keine Rente gibt. Und so zieht er erneut für die Schwachen und gegen die Starken in den Kampf, um als Equalizer, als ""Gleichgewichtsbringer"", für Gerechtigkeit zu sorgen.",121,/kNDPT3opIEpE2S1ThrKyQXEpLQR.jpg,/z7noaCJ4KtmhwHw7QcNtnMMo4Qy.jpg
Wanted,8909,movie,/media/pi/F01/Flext/Filme/Wanted.mp4,2008-06-19,"['Action', 'Thriller', 'Krimi']","Wesley Gibson ist ein langweiliger Durchschnittstyp, der gute Gründe hat, sein Leben zu hassen: seine Chefin schikaniert ihn pausenlos und seine Freundin schläft mit seinem besten Freund. Doch dann trifft er die aufregende Fox, gerät mitten in eine Schießerei und erfährt, dass sein verschollener Vater gerade erst brutal ermordet wurde. Wes lernt die Bruderschaft kennen, einen mächtigen Geheimbund, der die Geschicke der Menschheit lenkt. Das frühere Weichei entwickelt durch Fox’ knallharte Ausbildung blitzschnelle Reflexe und übermenschliche Geschicklichkeit. Schließlich tritt Wes in die Fußstapfen seines Vaters, um Rache zu nehmen. Doch auch die Bruderschaft hat eine dunkle Seite und Wes muss entscheiden, wer eigentlich über sein Leben bestimmen soll …",110,/rTvUr2ESdZ1Ht5zNbgUNmNEHyUT.jpg,/n158LuPxWtPIl93nyInUyOzGaWS.jpg
